Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$6,283.001443","$7,567.253642","$9,274.514156","$10,767.396220","$11,638.733710","$12,850.215710","$13,657.670640","$14,970.152340","$16,675.278490","$17,140.433370","$17,375.225310","$18,713.425390","$19,742.316740","$19,833.826750","$21,023.157510","$20,913.299500","$21,377.095190","$22,050.830930","$24,104.646180","$24,975.673260","$25,833.445620","$27,665.426470","$29,011.559250","$25,739.137250","$24,452.928360","$26,044.435930","$25,609.955720","$26,515.678080","$26,942.307980","$28,421.386490","$28,451.273740","$29,326.708060","$30,918.515220","$31,902.762580","$24,487.863570","$29,342.100730",nan
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,$161.638982,$161.111657,$170.538537,$198.038919,$178.019217,$196.818756,$207.945574,$210.149894,$223.040659,$248.448220,$258.760362,$277.028107,$290.929486,$369.782388,$441.214102,$455.808233,$439.627553,$484.274983,$533.768074,$598.516558,$741.305705,$739.098653,$685.023457,$694.537147,$617.375482,$510.414257,$554.458043,$656.115225,$699.348882,$724.754485,$819.844296,$869.131599,$752.716098,$723.802778,$695.696584,$764.788395,$742.428029,$761.231441,$698.562841,$671.862171,$709.061010,$630.198869,$630.479082,$816.437662,$989.220845,"$1,124.220303","$1,230.194793","$1,374.086248","$1,433.258304","$1,417.130587","$1,649.639146","$1,799.623009","$1,765.250073","$1,736.222507","$1,724.534381","$1,545.559084","$1,436.094404","$1,613.668488","$1,550.111762","$1,499.954437","$1,353.927527","$1,539.165543","$1,622.391720"
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,$62.369375,$62.443703,$60.950364,$82.021738,$85.511073,$105.243196,$143.103233,$167.165675,$134.012768,$134.250360,$162.642175,$166.224831,$141.365322,$149.744068,$181.598776,$194.669036,$205.674097,$232.778699,$255.045622,$284.755532,$291.649791,$311.853617,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,$183.532775,$200.462376,$221.657662,$255.055107,$274.000656,$375.078261,$387.849288,$443.845150,$554.594735,$621.912414,$663.141053,$651.987862,$628.146804,$592.476165,$520.251955,$530.149863,$502.057099,$500.522981,$516.866797,$363.674087,nan
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,$107.423775,$112.503866,$118.197351,$122.774120,$131.163760,$137.809818,$143.601581,$128.049650,$129.123648,$143.145552,$194.327390,$168.385279,$199.319750,$244.905282,$331.581835,$375.628580,$441.401165,$451.997205,$479.177639,$579.620309,$712.426374,"$1,301.957532","$1,122.290300",$806.591433,$650.459671,$645.828620,$580.908731,$580.461595,$558.447755,$507.740610,$591.989608,$556.337330,$545.465986,$443.597693,$377.211747,$460.825071,$521.416803,$513.050543,$511.494584,$526.248227,$522.772772,$535.897917,$621.862505,$700.443384,$843.989814,"$1,003.436618","$1,245.822948","$1,420.840336","$1,685.371170","$1,467.241236","$1,679.646727","$1,860.943928","$1,957.519614","$2,153.766138","$2,247.857492","$1,880.750778","$1,646.972399","$1,588.581005","$1,732.816544","$1,810.538006","$1,686.997899","$1,765.965307","$1,790.348800"
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,$711.941169,$643.052851,$620.363109,$623.533932,$637.519759,$757.632389,$684.489277,$755.972445,$792.914089,$891.803205,$949.349841,"$1,038.914019","$1,196.464962",$847.653799,$251.856499,$399.735558,$523.310909,$514.309887,$423.393453,$387.689415,$556.884244,$527.464119,$872.657638,$982.805590,"$1,254.696126","$1,900.723817","$2,597.963585","$3,121.348735","$4,081.717497","$3,123.698898","$3,496.784796","$4,511.153227","$4,962.552072","$5,101.983876","$5,059.080441","$3,100.830685","$1,709.515534","$2,283.214233","$2,487.500996","$2,142.238757","$1,502.950754","$1,903.717405","$2,998.501158"
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,$639.484736,$639.865909,$693.873475,$674.793383,$652.774321,$697.995597,$617.230435,$336.586995,$200.852220,$367.279225,$586.416133,$750.604449,"$1,009.977114",$717.380048,$813.789397,"$1,033.242532","$1,126.683340","$1,281.659826","$1,425.124219","$1,846.120121","$2,373.581292","$2,673.787803","$2,972.743618","$3,595.038302","$4,370.539711","$4,114.134041","$4,094.349699","$4,437.141146","$4,247.631356","$4,413.063397","$4,578.633208","$3,952.803584","$4,124.055390","$4,531.032207","$5,287.660817","$5,396.214227","$5,343.037704","$6,377.203096","$6,802.804519"
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$3,958.591270","$4,193.161414","$4,967.344043","$6,183.805741","$7,174.447718","$7,963.562944","$7,758.724021","$8,206.985726","$9,456.016728","$12,054.020440","$12,534.822710","$10,516.748870","$9,739.230181","$8,108.675838","$7,825.159598","$7,914.877680","$10,568.933040","$12,833.004040","$14,529.060530","$15,404.819300","$19,208.672810","$19,967.727830","$21,123.067050","$17,024.324080","$16,670.948370","$18,731.650690","$19,081.537960","$18,253.085380","$18,592.243020","$18,884.171350","$21,620.468490","$22,809.087760","$24,784.963790","$31,954.155660","$37,630.764260","$39,583.931190","$43,084.292910","$50,562.861210","$53,721.411330","$49,750.693670","$48,237.891170","$51,428.196950","$44,902.380770","$44,747.753860","$45,680.534990","$38,885.530320","$39,931.216980","$40,632.231550","$42,904.828460","$41,328.600500","$37,207.222000","$42,072.341100","$41,992.793360"
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,$299.969974,$317.714251,$349.200528,$392.352849,$454.732480,$560.636241,"$1,034.688767","$1,108.022767","$1,331.696581","$1,485.099053","$1,592.481741","$2,085.997913","$2,741.710413","$2,742.696180","$2,489.394893","$2,270.024076","$2,239.665131","$2,140.702362","$2,015.598863","$2,119.384687","$1,990.564893","$2,081.178916","$2,850.801545","$2,043.866154","$2,002.597652","$1,986.731193","$2,034.345695","$2,173.726020","$2,344.635464","$2,469.834165","$2,366.063814","$2,556.451710","$2,857.132721","$2,735.425402","$2,693.037779","$2,915.513683","$3,392.620162","$4,069.149413","$4,701.931138","$5,327.234547","$6,528.650292","$5,585.456110","$6,406.313817","$6,864.434184","$7,365.456849","$7,348.849550","$7,302.250350","$6,283.256026","$6,113.397738","$6,224.522970","$6,573.816970","$6,498.529037","$5,639.398735","$6,414.725618","$7,655.848402"
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$27,090.340070","$31,282.767600","$35,186.232040","$29,526.639260","$34,372.384000","$42,995.164000","$44,841.229750","$39,921.632990","$34,586.531820","$31,955.181250","$29,432.831210","$23,111.378380","$23,088.204170","$21,545.455580","$23,141.014770","$26,682.849810","$25,668.493320","$25,630.080970","$25,019.372360","$25,463.496290","$27,010.678190","$28,596.506830","$28,709.246920","$25,905.843380","$27,261.906570","$31,855.500600","$29,909.009430","$30,221.967000","$32,607.372930","$37,017.736370","$42,190.554380","$45,339.585120","$43,918.380170","$45,140.769080","$31,722.588760","$34,165.913310","$40,893.023360","$44,386.786080","$45,729.607680","$46,865.964600","$41,525.138900","$41,054.539570","$43,063.967480","$46,722.268720","$45,376.170840","$37,629.174170","$44,315.554180","$53,757.863250"
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,"$1,163.186836",$855.275656,"$1,179.504098","$1,285.260799","$1,277.968419","$1,065.898520","$1,143.810428","$1,331.639709","$1,324.685288","$1,374.424233","$1,411.176664","$2,100.030587","$2,846.266307","$2,026.570709","$1,946.329391","$2,125.532220","$3,280.374868","$2,510.585576","$2,746.207484","$2,763.375182","$2,914.918251","$3,539.456782","$3,919.089570","$2,910.508329","$3,443.191431","$3,485.690232","$4,004.009589","$2,382.338066","$4,330.967451","$5,730.723810","$6,815.331623","$6,957.417499","$7,464.474737","$7,383.704510","$7,690.157003","$8,176.771195","$8,250.673174","$7,735.322080","$7,666.517834","$7,168.975872","$2,579.488769","$3,333.152904","$4,258.160261","$5,086.627761","$5,890.978002","$7,210.595548","$8,977.506851","$8,184.389889","$10,385.964430","$12,848.740480","$13,082.664330","$13,080.254730","$12,334.798250","$13,789.060420","$12,790.264060","$14,613.035710","$11,795.162890","$9,963.674231","$8,496.428157","$10,636.115530","$13,686.008670"
